wallet_address,account_id,deposits_count,deposits_total_amount,deposits_total_usd,withdraws_count,withdraws_total_amount,withdraws_total_usd,borrows_count,borrows_total_amount,borrows_total_usd,repays_count,repays_total_amount,repays_total_usd,liquidates_count,liquidates_total,liquidates_total_usd,liquidates_avg_usd,cluster,wallet_score
8136,0x96c8e2a1eab72eea758b6694fb2217c4118bb803,61.0,1.1677879827405406e+24,1935499.6311731252,49.0,1.1695606660354348e+24,1939941.1331977055,26.0,5.130549300004266e+23,940987.0242295183,44.0,5.146900646938018e+23,941756.0826736711,0.0,0.0,0.0,0.0,0,85
4360,0x5142126b4573ae1a23e4c8ab2a16631cae725325,0.0,0.0,0.0,62.0,8.357057520687181e+20,1018.8293297971458,37.0,7.270433643864068e+20,1495.491827362546,31.0,4.3245521070620095e+20,377.42521141486054,0.0,0.0,0.0,0.0,0,85
2103,0x26d8bd22c1b3ce53d6c5110c71138749f4c69439,1.0,1.3975004009709776e+20,139.5625694577108,51.0,3.1639765091201833e+21,12957.66385409147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85
4287,0x4fe95c36bb9b3a81f278569525162f91615e77d7,38.0,4.74602482418375e+22,47528.15819820151,89.0,6.508955267084664e+22,68969.78075182595,49.0,8.445224000000998e+21,27387.955498072355,15.0,8.035142022412962e+21,9089.887581629146,0.0,0.0,0.0,0.0,0,85
8658,0x9fd31424cfceab50218906bc1b3d87fe7778ca61,87.0,1.144807143043938e+23,146361.1531116888,33.0,4.935519241005862e+22,80983.4988489011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85
12405,0xe40afc776c18d8925199dcce78d0b06c9222b896,69.0,8.979745208325766e+21,9458.958327574797,39.0,1.0985679317155631e+22,11872.828299720586,67.0,2.756666275092494e+22,6603.381944772808,21.0,2.767357845319846e+22,5229.086445099069,0.0,0.0,0.0,0.0,0,85
8760,0xa17f75c6d52951699350f308d1220e2dca7b4cda,57.0,6.672483394503068e+20,664.0554554971282,25.0,9.506383129867088e+20,1008.2729670605115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85
12934,0xee37f338220479c8f652e3557f02513bdb11c160,35.0,4.6572000000001557e+21,189785.35746642132,51.0,4.834396333213165e+21,206118.23723801074,79.0,6.809100000010047e+22,168662.99215557007,63.0,6.830299303352666e+22,169316.53546104004,0.0,0.0,0.0,0.0,0,85
11509,0xd3609aee138dec27fb63395dc58b5f0c7ab701f2,11.0,6.833201618441807e+19,6277.577588165701,83.0,1.2265208818119865e+20,19090.123638827954,88.0,2.9075711133748747e+22,54071.86251997507,120.0,2.7418974316236053e+22,51916.25468780784,0.0,0.0,0.0,0.0,0,85
11469,0xd2adb7b4df854631fa0f790a93b2fa25fad3f56e,27.0,3.2349344283240264e+21,8931.34257892454,58.0,1.5706140933424568e+22,29666.025310087098,59.0,9.089127668082082e+21,20410.66298185812,66.0,8.657146014130385e+21,20293.37891501282,0.0,0.0,0.0,0.0,0,85
12477,0xe5a3d77d7788a83f3549dd7f08fc2aced7e262d2,28.0,6.620256735452741e+21,38786.360054946155,53.0,6.69087516437637e+21,45612.84284154214,69.0,2.2250000000493e+21,51636.334116,76.0,2.2255390568575976e+21,51950.20608884579,0.0,0.0,0.0,0.0,0,85
8530,0x9df06d2e25378f01a405c93310e289e8d06c9841,47.0,1.371260000000806e+21,10573.399240974733,91.0,1.5999223664022672e+21,15205.557942668718,95.0,6.891100000080737e+20,11911.580178066797,86.0,6.900360015706027e+20,11980.281235427816,0.0,0.0,0.0,0.0,0,85
10835,0xc766ca67ed7216bf6f67e449f9789daddcc0e9ee,34.0,4.12601054907258e+21,3977.2131292112954,55.0,3.576388823769604e+21,3377.6581649206414,46.0,3.555300658561644e+20,4040.312377115456,32.0,3.5045948610996555e+20,2272.0463014880625,0.0,0.0,0.0,0.0,0,85
5180,0x608b0012afe1bbce4dde992d53a2075d74762040,0.0,0.0,0.0,69.0,1.3809143829044786e+23,105743.88824131552,89.0,1.4429910000041699e+22,76173.96103503148,60.0,1.4395100458527289e+22,67979.02767661928,0.0,0.0,0.0,0.0,0,85
5179,0x607d2dd18c9782dd0c387b2fe8a69bbcfe0e3eb3,31.0,5.923680882681003e+20,589.491520325196,60.0,5.5752371334872944e+20,557.8657783051729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85
12732,0xea5ee32f3a63c3fabb311c6e8c985d308a53dcc1,0.0,0.0,0.0,138.0,6.21777968251808e+24,6887201.788073535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85
672,0x0be0ecc301a1c0175f07a66243cff628c24db852,60.0,6.538013333071178e+20,2924.8311398638743,16.0,6.194912860393918e+20,1569.2604379421005,36.0,3.0994000000017194e+21,3245.49952054179,25.0,2.47942031316292e+21,2248.7957922679384,0.0,0.0,0.0,0.0,0,85
5199,0x60d0d3b1dfab526e12233de88b600d5571a07476,0.0,0.0,0.0,59.0,7.9280000000073e+17,1.5207285803827628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85
10950,0xc968c8fd6b87874e17e37cb41e7d8b9bbc640c52,19.0,5.030049847721975e+22,127505.22681733381,55.0,5.618460494761856e+22,135992.28054792323,14.0,1.5127185250262951e+22,80052.99125568771,29.0,1.5194554581040365e+22,77064.37663740355,0.0,0.0,0.0,0.0,0,85
4557,0x547f0a7816ccaf3b2dccb1c4401799b440adec06,20.0,1.4324166799999998e+22,14273.785939221707,63.0,6.20764968e+22,50082.40698676284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85
640,0x0b013cca6335dd62353ca60ecec9c39b5227d270,29.0,4.1396614089184e+22,75860.3408014281,68.0,8.610402023359171e+22,121334.45148605572,17.0,3.163540975708928e+20,62987.12666891485,1.0,1000469082.0,1000.469082,0.0,0.0,0.0,0.0,0,85
12839,0xec8e446c52f2d4ac9048aff1813c636ac8334fc9,58.0,3.071278816199975e+20,607.3754639990118,2.0,3e+19,13.847713756950839,130.0,1.4588416593733771e+20,5858.914572266521,98.0,1.178737628444075e+20,5425.235511260826,0.0,0.0,0.0,0.0,0,85
13898,0xfff801e0bf28c9582420eeec66830c69c5670159,30.0,3.431859546102806e+20,74516.20899482134,107.0,1.180124517515501e+21,163351.28243903333,51.0,5.086226377976666e+19,145093.13464739203,80.0,5.086346137157486e+19,93900.96627158232,0.0,0.0,0.0,0.0,0,85
9991,0xb7896fce748396ecfc240f5a0d3cc92ca42d7d84,0.0,0.0,0.0,303.0,1.6617758841311378e+23,167188.60214094148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85
7486,0x8b26754becb2f0b00f64a4345da8e0f53ddab673,53.0,2.7313698978422347e+23,76850.08610753974,4.0,2.5e+21,520.3912983625,97.0,2.0000000007011e+20,70307.57815468282,27.0,2.000000000052689e+20,5468.36967956318,0.0,0.0,0.0,0.0,0,85
10243,0xbc2927d1ee21b4a910e26ce282afa3af2d8a5d60,0.0,0.0,0.0,59.0,8.567107976561828e+22,86223.94895077213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85
9637,0xb1734fa31d26d0d7881cbdc0118b1535f5454a33,23.0,1.501396864381073e+22,155768.25302564004,87.0,6.402717673076567e+22,1188336.763962088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85
3357,0x3e2dbda5f310aade1503557b2e7f356eaf161641,56.0,1.4427e+20,36172.2627747609,5.0,3e+18,677.2602959604111,129.0,1.7185934754972977e+23,172871.05417411274,10.0,6.34747876516828e+21,6356.419829993411,0.0,0.0,0.0,0.0,0,85
5548,0x6780846518290724038e86c98a1e903888338875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,6.629615085632167e+16,48729482.089328796,124947.38997263793,2,80
11836,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3172.0,3.1393579667211896e+16,119731135.9347337,37746.25975243811,2,80
2773,0x333388b6bf358d441cde209f1d58db27f28446e1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,619999985147518.0,98630578.18318276,904867.6897539702,2,80
2776,0x3333a5a9d331f0c7b2c3626a1088fe6ee0b69e67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,1.7690809179246744e+16,126681914.6171437,357858.5158676376,2,80
3100,0x3909336de913344701c6f096502d26208210b39f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,2.825452166189188e+16,56870582.410491854,80896.98778163848,2,80
8312,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.0,5.898207754592223e+16,34637233.46999396,22418.921339801913,2,80
12627,0xe8468f05550563aa5bfc5fbcb344bf87aa2f6b84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,2.967803940388321e+17,99537206.47940724,858079.3662017866,2,80
5570,0x681bd23f6128db3f9b8914595d1a63830a6212fa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0,1.0652502793097542e+17,128864847.18609492,68146.4025309862,2,80
9198,0xa93c148c31333e15b0c30bbf802bae0428203132,0.0,0.0,0.0,2.0,4.498468270784009e+17,0.44917525493701105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9141,0xa85a8e32fdb79f411715110655d81659055c3832,0.0,0.0,0.0,0.0,0.0,0.0,1.0,300000000000.0,4.328100000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9197,0xa9333685543e62176a091a86574e0ca3acd30d7d,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6.181006000000001e+22,61887.24562442399,20.0,6.2686399793594955e+22,62534.913597796985,0.0,0.0,0.0,0.0,0,75
9165,0xa8ba8ad50ffdddb8fd357424fc1d87721486df09,4.0,2.126900000009238e+20,1135.461048266394,2.0,2.1344659370787707e+20,1138.2955363344809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9142,0xa85efd19852f56990a708d5d38d49552e8c75512,15.0,4.112190024890519e+21,12288.747576798338,10.0,5.718126000003109e+21,3157.976740189368,63.0,2.1110000000014146e+22,35235.06822751702,32.0,3.6073191987963783e+21,11474.518343324711,0.0,0.0,0.0,0.0,0,75
9199,0xa94237bd647e820b6740ebbd77285fb3a200ae1c,2.0,1.9921972299999998e+19,19.88698982062035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9168,0xa8bf16be6829d8eb167b62e11517cd01623d7ec6,0.0,0.0,0.0,3.0,1.3464414424448096e+21,271538.16776222875,3.0,238698040545.0,238698.040545,4.0,238990894742.0,238990.894742,0.0,0.0,0.0,0.0,0,75
9164,0xa8b6a1ff91a3506e05224ba87b2dc2c315b4057f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,212314204.0,212.314204,0.0,0.0,0.0,0.0,0,75
9140,0xa85702f8bdf847f8765fb142e3ab2f25a46adb71,1.0,1e+19,10.011585729231813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9169,0xa8caa6372cc915a7f839b03a506786c1ce571fc7,1.0,1e+20,99.95509562109737,1.0,1.0256503054053292e+20,103.42126325224925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9143,0xa85f0d90aed5215d0e8f4712a8356817c63d7f17,1.0,1e+19,10.003807175681029,1.0,1.0000080727546677e+19,10.003887933962101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9182,0xa8f0b0b9ea90cbbed60b615c1fd892099156ebcb,0.0,0.0,0.0,12.0,7.93694314989202e+20,5828.069843727615,16.0,2.03806000003031e+20,3932.0100990104024,15.0,2.0190315144056105e+20,3594.88965603055,0.0,0.0,0.0,0.0,0,75
9183,0xa8f32cceb477d30a5e6603b498f01c6170175f1f,3.0,4.969715698867091e+21,4957.763523557815,2.0,4.995254748193503e+21,4965.0756335228925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9181,0xa8f0299b764332670410881eaffd6253eb843d4a,1.0,118464323.0,118.464323,1.0,118468154.0,118.468154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9149,0xa868f082754ee4b5dc8b8165b89aa6c3abab51f1,1.0,5.0062e+19,50.07788487402009,5.0,5.0118283673003655e+19,49.907449082805364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9152,0xa86e0e58f074e0e929114a07f3110955b2605898,0.0,0.0,0.0,3.0,1.6648950874451005e+20,208.1123003969907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9153,0xa87259f8e14364953d91f8541a7ba0b32e5e7008,5.0,4e+19,11022.595785194548,2.0,2.4e+19,5156.94251240991,6.0,1.3840000000059378e+21,7324.816756565682,4.0,1.386722785156986e+21,4668.49474803854,0.0,0.0,0.0,0.0,0,75
9148,0xa868861f5d8453bc0790861b0975730d16c37afd,7.0,23893896747.0,23893.896747,3.0,24016393569.0,24016.393569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9147,0xa8665bcf4433fd79ca3665aaf7f6f2a8180fab66,0.0,0.0,0.0,1.0,14750729860.0,14750.72986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9155,0xa8896a4e03caf88dc90120f32ae2235922549c5c,2.0,2.692382308e+19,26.745661731541464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9170,0xa8cd9788caaab894623ea82c8e1bf3e2a014858c,2.0,5e+19,50.130607858534496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9157,0xa893d0e51977814ec4be80a4b35e3b89446141f7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.616073041442791e+22,46508.03126809698,3.0,8.879869049056449e+21,8898.58062028305,0.0,0.0,0.0,0.0,0,75
9158,0xa8a2029e449b25145cb1f679f1054df12aba0f34,1.0,1.99934222e+19,20.188776459512532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9159,0xa8a2b9ab2807bd11eeffdb86052e4122bb2a0719,1.0,1.996471916e+19,19.98440912649105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9160,0xa8a6d153c3c3f5098eec885e6c39437de5ca74fd,0.0,0.0,0.0,1.0,10000000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9146,0xa866598d762b9f4095277c5dec8c92f8548cc676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5e+16,9.235750000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9145,0xa86263fc27f54c32e3187a323ebcfbeaecf63a99,0.0,0.0,0.0,1.0,1.1949873423493418e+20,121.16927760789119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9161,0xa8ac950edc4af5638676df4da8701be7ac0e7f27,2.0,2.478887901112945e+19,24.89768092695485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9162,0xa8b47aa6243fa0d8691593ecb359d01b96e0fa57,2.0,7.420621874148573e+16,0.07412231650881583,0.0,0.0,0.0,2.0,2000000000000000.0,0.03734336536393283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9163,0xa8b503eceec6bf42fdaed3096f6c6e66ebc54684,1.0,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9144,0xa8610096115a333b9dc5bf63049d2190be1600fd,1.0,1.1025752566e+20,109.82153543950918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9156,0xa8925e8bcd509c59152466e7e4476a6a9c45b899,1.0,6e+16,0.059731455534545716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9229,0xa9e43080a32a7dca4de0fec92efeb70befef81df,3.0,2.1987918831e+19,7.003245275819282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9230,0xa9e4a82f0ccf372dfce67ffd632e89b9857ae73f,2.0,5.06e+18,5.08496570302112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9231,0xa9e5c25af507aaa3ee7c4c625f9ed17423b42f4c,0.0,0.0,0.0,1.0,1005059092.0,1005.059092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9200,0xa94314a959f5391e0d5c8f1d8d7fd6f5e679a582,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.7e+18,2.2035182458946427,3.0,2.1753354999578642e+18,0.9850208479509264,0.0,0.0,0.0,0.0,0,75
9201,0xa951b9c8c280aa965fe3860650f123c1aad42eb4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.16435733960041e+16,18.50125016726849,3.0,8.164766688269318e+16,18.29315976506741,0.0,0.0,0.0,0.0,0,75
9202,0xa958c1420f6601d21ba2b426584b4e368fb3f162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.420341923680763e+17,161.12745288059324,4.0,4.215335646403716e+17,99.68111413257675,0.0,0.0,0.0,0.0,0,75
9203,0xa95f67ba56f1fa2cbb16c1351a427c1347576556,2.0,4.104207995e+19,40.815196292512695,1.0,4.188697490545521e+19,42.17123536557163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9204,0xa96318b9904712277b29c111923b83eafc11be72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30083057.0,30.083057,1.0,30083057.0,30.083057,0.0,0.0,0.0,0.0,0,75
9205,0xa963637f4d3b80617f09d0c05517ffef97848e42,2.0,1e+17,21.134499429617048,0.0,0.0,0.0,1.0,1.257240302013706e+19,12.572263285274142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9206,0xa969bff699aad8d935fb3e633c1fa6881cedb1fe,0.0,0.0,0.0,1.0,2.1816457211106357e+19,3956.141809518999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9207,0xa97cbdd24bb3fe40fd425dfcb14131646980cf04,2.0,1.9489146649370224e+20,194.47998427975537,2.0,1.9654254803772198e+20,196.32547716495347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9213,0xa99b8fb88382d12b8ea19869fe0b0ebe381a5a3d,1.0,6e+16,0.060161907236327736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9209,0xa97fb8b46eae52ce8d86f6c4862abd3d37407464,0.0,0.0,0.0,3.0,1.02e+18,4.548657507729853,3.0,1.0200000000005e+18,5.049157507729854,3.0,1.0200070074798461e+18,5.049169050189935,0.0,0.0,0.0,0.0,0,75
9210,0xa98cee9c499905808878dbd582d1ea9423f16436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,41909385676817.0,12821713.347902555,2136952.224650426,0,75
9211,0xa9911182421b6bad13d188914d602f7924de840e,3.0,1.125396387408454e+22,11312.689854098953,1.0,1.1497117043729143e+22,11715.78069330381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9212,0xa9995a0674202c246e4d896a6209675a2fd81e53,0.0,0.0,0.0,3.0,1.1812657334135669e+20,214.84747932871372,1.0,7.2e+19,71.75650983960495,1.0,7.2000033975085244e+19,71.75654369979299,0.0,0.0,0.0,0.0,0,75
9245,0xaa27e13d3a4cee5f7dc01926fc5e21fb4ed9dbff,1.0,6e+16,0.059599312072123246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9246,0xaa2b97694b4c07c1e85d722bb7ec5bbd39bc2a4f,4.0,5.398720642315e+19,86.29629157429099,1.0,1.049545312148207e+17,21.202821883351316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9247,0xaa3e73672061b633c5afad5c77c79c473a196c10,3.0,5.97909000001e+18,15.994657602427704,4.0,6.01356992116412e+21,7581.81867981709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9216,0xa9b5913ca8da76fd2c9f74042df259015ea690e3,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0677258857685071e+22,10663.501405726429,3.0,4.2435588304505547e+21,4252.20996314584,0.0,0.0,0.0,0.0,0,75
9217,0xa9b59bb4a7fa8c8c1d4ebc1992ef86ce451c94b8,1.0,4.9998200478591476e+19,49.883819170658356,1.0,5.00749315013928e+19,50.431593384609776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9218,0xa9b8837e8b41d8a63f10f3f782004d8981b2c5ca,1.0,4500000000000000.0,0.9591817825757837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75
9219,0xa9bbd5b83ffc706342555e4a38c9c06b2e7441e5,6.0,1.22843e+21,10372.311020083444,5.0,3.4057609358066686e+21,10321.478733218019,9.0,6748750000.0,6748.75,4.0,6823599195.0,6823.599195,0.0,0.0,0.0,0.0,0,75
